SS,,l,
,l,o,l
l,o,d,o
o,d,g,d
d,g,e,g
g,e,,e
e,,ES,
SS,,r,
,r,o,r
r,o,w,o
o,w,,w
w,,ES,
SS,,c,
,c,o,c
c,o,u,o
o,u,p,u
u,p,e,p
p,e,r,e
e,r,s,r
r,s,,s
s,,ES,
SS,,t,
,t,u,t
t,u,d,u
u,d,o,d
d,o,r,o
o,r,s,r
c,o,q,u
o,q,,q
q,,ES,
,t,r,t
t,r,e,r
r,e,e,e
e,e,,e
SS,,g,
,g,l,g
g,l,a,l
l,a,m,-
a,m,,m
m,,ES,
SS,,h,
,h,o,h
h,o,n,o
o,n,e,n
n,e,y,e
e,y,m,y
y,m,e,m
m,e,r,-
e,r,e,-
r,e,,e
SS,,f,
,f,a,f
f,a,r,a
a,r,m,r
r,m,,m
c,o,s,-
o,s,t,s
s,t,s,t
t,s,,s
,g,r,g
g,r,a,r
r,a,f,a
a,f,h,f
f,h,a,h
h,a,m,a
r,a,n,a
a,n,g,n
n,g,e,g
SS,,e,
,e,r,e
e,r,e,r
,c,a,c
c,a,b,a
a,b,a,b
b,a,l,a
a,l,,l
l,,ES,
,c,c,c
c,c,a,c
c,a,,a
a,,ES,
SS,,v,
,v,e,v
v,e,a,e
e,a,l,a
SS,,x,
,x,i,x
x,i,i,i
i,i,,i
i,,ES,
,r,u,r
r,u,s,u
u,s,h,s
s,h,e,h
h,e,t,e
e,t,t,t
t,t,,t
t,,ES,
SS,,s,
,s,t,s
t,s,-,s
s,-,-, 
-,-,,t
-,,ES,
SS,,-,
,-,-,x
-,-,-,i
-,-,-, 
-,-,-,l
-,-,-,c
-,-,-,o
-,-,-,m
-,-,-,n
-,-,c,|
|
-,c,r,c
c,r,i,r
r,i,c,i
i,c,k,c
c,k,e,k
k,e,t,e
e,t,,t
,l,g,l
l,g,s,g
g,s,r,s
s,r,n,r
r,n,l,n
n,l,l,l
l,l,,l
l,o,n,o
o,n,g,n
n,g,,g
g,,ES,
SS,,p,
,p,a,p
p,a,h,a
a,h,,h
h,,ES,
a,r,,r
r,,ES,
h,o,m,o
o,m,i,m
m,i,n,i
i,n,g,n
n,g, ,g
g, ,c, 
 ,c,o,c
c,o,p,o
o,p,s,p
p,s,e,s
s,e,,e
p,a,c,-
a,c,h,c
c,h,,h
,r,e,r
r,e,s,e
e,s,e,s
s,e,r,e
e,r,v,r
r,v,o,v
v,o,i,o
o,i,r,i
i,r,,r
SS,,d,
,d,i,t
d,i,s,h
i,s,u,s
s,u,s,u
u,s,e,s
s,e,d,e
e,d,,d
d,,ES,
h,o,u,o
o,u,s,u
,s,e,s
s,e,a,e
,p,l,p
p,l,a,l
l,a,y,a
a,y,i,y
y,i,n,i
g, ,f, 
 ,f,i,f
f,i,e,r
i,e,l,e
e,l,d,l
l,d,s,d
d,s,,s
,l,b,l
l,b,l,b
b,l,m,l
l,m,,m
SS,,i,
,i,n,i
i,n,s,n
n,s,,s
l,a,-,a
a,-,n,n
-,n,-,n
n,-,-,a
-,-,n,o
n,-,-, 
-,-,e,t
-,e,d, 
r,v,,v
v,,ES,
SS,,b,
,b,r,b
b,r,e,r
r,e,a,e
e,a,c,a
c,h,-,h
h,-,-, 
-,-,,c
SS,,a,
,a,p,-
a,p,s,p
c,o,t,o
o,t,t,t
t,t,a,t
t,a,g,a
a,g,e,g
g,e,s,e
e,s,,s
,-,-,c
-,-,c, 
-,c,o,c
c,o,n,o
o,n,s,n
n,s,t,s
s,t,o,t
t,o,n,-
o,n,,-
n,,ES,
,s,a,s
s,a,r,3
a,r,n,r
r,n,,n
,a,c,a
a,c,o,c
c,o,r,o
o,r,n,r
c,a,p,a
a,p,t,p
p,t,a,t
t,a,i,a
a,i,n,i
i,n,-,n
-,-,,s
,i,s,t
i,s,i,s
s,i,s,i
i,s,,s
,i,i,i
i,i,j,i
i,j,c,j
j,c,i,c
c,i,i,i
,i,c,i
i,c,o,-
c,o,n,-
o,n,i,-
n,i,-,i
i,-,x,x
-,x,,x
x,,ES,
,h,a,h
,s,p,s
s,p,r,p
p,r,a,r
r,a,y,a
a,y,,y
y,,ES,
SS,,o,
,o,w,o
o,w,l,w
w,l,,l
,s,o,s
s,o,p,-
o,p,r,p
r,a,,a
u,s,,s
c,o,w,o
w,l,e,l
l,e,y,e
e,y,-,y
y,-,-, 
,s,h,s
s,h,a,h
h,a,c,a
a,c,k,c
k,e,r,e
r,s,t,s
t,o,n,o
n,e,,e
SS,,j,
,j,u,j
j,u,n,u
u,n,c,n
n,c,t,c
c,t,i,t
t,i,o,i
i,o,n,o
o,n,,n
t,u,r,u
u,r,n,r
,b,i,b
b,i,b,i
i,b,,b
b,,ES,
n,e, ,e
e, ,b, 
 ,b,a,b
b,a,r,a
s,o,s,-
o,s,s,s
s,s,,s
,g,a,g
g,a,o,a
a,o,l,o
o,l,,l
k,e,l,e
e,l, ,r
l, ,t, 
 ,t,o,t
s,t,a,t
t,a,l,a
a,l,l,t
,b,o,o
b,o,o,o
o,o,-,o
o,-,-,|
|
,a,r,-
a,r,s,r
r,s,e,s
,o,f,o
o,f,f,f
f,f,,f
f,,ES,
,i,f,i
i,f,,f
SS,,w,
,w,e,w
w,e,t,e
e,t,h,t
t,h,e,-
h,e,r,-
e,r,,r
,t,o,t
b,i,g,i
i,g,,g
,b,a,b
b,a,x,a
a,x,,x
t,u,l,u
u,l,,l
,j,e,j
j,e,t,e
t,t,y,t
t,y,,y
,w,i,w
w,i,n,i
i,n,t,n
n,t,e,t
t,e,r,e
e,r, ,r
r, ,w, 
 ,w,a,w
w,a,t,a
a,t,e,t
r, ,l, 
 ,l,e,l
l,e,v,e
e,v,e,v
v,e,l,e
e,l,,l
,-,-,7
-,-,-,7
-,-,m, 
-,m,e,m
m,e,t,e
e,t,r,t
e,s, ,s
s, ,a, 
 ,a,b,a
a,b,o,b
b,o,v,o
o,v,e,v
v,e,,e
,i,q,i
i,q,y,q
q,y,i,y
y,i,,i
,c,h,c
c,h,a,h
h,a,,a
SS,,n,
,n,e,n
n,e,w,e
e,w,l,w
w,l,y,l
l,y,n,y
y,n, ,n
